year,country,manufactoringPercentageOfGDP,agrValueAdded,fertilizerConsumptionPerHectare,fertilizerConsumptionPercentage
1960,China,,,,
1961,China,,1.40000001,7.04082324,193.617021
1962,China,,4.5,9.59844811,175.150443
1963,China,,11.3,12.1182084,160.282776
1964,China,,12.9,16.328319,141.399663
1965,China,,9.7,25.4152921,136.406496
1966,China,,7.20000001,36.4604269,142.709133
1967,China,,1.9,26.5677641,146.496469
1968,China,,-1.6,26.6859354,200.595238
1969,China,,0.79999999,34.5458523,174.748491
1970,China,,7.70000001,44.0404929,167.248577
1971,China,,1.9,45.8317442,141.85772
1972,China,,-0.9,52.9111627,132.639029
1973,China,,9,65.2887119,132.561201
1974,China,,4.1,56.1738097,124.652359
1975,China,,2.00000001,70.0672898,123.075265
1976,China,,-1.8,65.777116,115.926327
1977,China,,-2.2,93.7540418,120.922812
1978,China,,-1.1131209,111.714547,120.243565
1979,China,,6.13443148,134.749311,119.125803
1980,China,,-1.4824696,158.172854,121.004829
1981,China,,6.98253441,155.332192,118.638428
1982,China,,11.5288243,160.034163,122.618932
1983,China,,8.32589347,172.449121,129.625662
1984,China,,12.8806135,174.844872,131.860216
1985,China,,1.84387945,142.996648,125.165702
1986,China,,3.31868729,142.907111,121.198044
1987,China,,4.70418469,187.637111,132.947554
1988,China,,2.5439331,208.253051,142.468394
1989,China,,3.07499973,206.925085,138.505343
1990,China,,7.32773214,219.0993,142.365653
1991,China,,2.35353019,236.242782,147.998763
1992,China,,4.65100302,236.334796,140.707989
1993,China,,4.64917941,205.642199,126.081539
1994,China,,3.94554574,237.670268,134.747266
1995,China,,4.94264254,295.924614,140.359307
1996,China,,5.0398939,299.886659,132.866724
1997,China,,3.43664045,297.839524,132.905268
1998,China,,3.43299457,299.397945,125.913691
1999,China,,2.7313733,304.496333,123.601403
2000,China,,2.32851804,285.94478,119.973872
2001,China,,2.63807124,293.915488,118.125187
2002,China,,2.69994655,335.814206,126.681668
2003,China,,2.37205637,330.803748,113.231994
2004,China,31.97507,6.10501997,354.430603,110.547787
2005,China,32.0939243,5.0739144,376.8997,115.194927
2006,China,32.4523281,4.7552783,376.739684,110.068781
2007,China,32.3833531,3.5236499,387.151299,101.167836
2008,China,32.1194116,5.15600467,374.217845,98.6234588
2009,China,31.5962381,4.00242578,385.4265,96.103796
2010,China,31.6128217,4.25106969,424.418776,93.4717823
2011,China,32.0647912,4.17428925,440.832259,93.933474
2012,China,31.5285779,4.46654196,450.802943,94.416669
2013,China,30.6710081,3.80719983,449.052448,93.160434
2014,China,30.3964442,4.05046824,464.827574,87.8942327
2015,China,28.9516706,3.89852147,464.619949,85.2261006
2016,China,28.0694422,3.27781356,463.187015,88.139681
2017,China,28.1089369,3.961291,421.46775,90.0673586
2018,China,27.8410112,3.4829175,393.215457,90.0626181
2019,China,26.7747218,3.08555309,,
2020,China,26.1759067,3,,
1960,India,14.7501181,,,
1961,India,15.3538365,0.08420744,2.17128994,153.983405
1962,India,15.8632981,-1.9890988,2.88576899,160.074196
1963,India,15.7523884,2.33925222,3.45399124,166.395409
1964,India,14.85074,9.2242747,4.90198565,206.610908
1965,India,15.0109078,-11.042197,4.95904333,219.967535
1966,India,14.503993,-1.4225792,6.93990794,242.049703
1967,India,13.2318613,14.8708722,9.63199399,252.419223
1968,India,13.522788,-0.158279,10.9996314,226.835867
1969,India,14.1464716,6.42751614,12.3893584,207.691502
1970,India,14.4565451,7.0921654,14.054559,212.766359
1971,India,14.9822867,-1.8773667,16.6303613,214.344494
1972,India,15.1025494,-5.0184798,17.2792878,199.877239
1973,India,15.0152853,7.20190655,17.6256178,206.526484
1974,India,16.3459134,-1.5233569,15.9336475,169.541442
1975,India,15.8384867,12.8897837,21.5882549,191.158286
1976,India,16.2658888,-5.7781828,21.0839396,145.600205
1977,India,16.0808689,10.0362538,26.5076299,160.314972
1978,India,17.0964405,2.30250677,31.4324396,173.052277
1979,India,17.8520345,-12.77469,32.2612026,175.476721
1980,India,16.7523758,12.8882253,33.9727609,183.053203
1981,India,16.7704438,4.6016733,37.3489982,148.029389
1982,India,16.3699959,-0.2808349,35.9304363,132.351481
1983,India,16.6644547,10.1209741,40.7756311,145.032609
1984,India,16.7078036,1.58509237,48.8907089,152.249667
1985,India,16.4180129,0.31427327,52.9864253,150.141679
1986,India,16.2215838,-0.4094844,58.8559994,135.564418
1987,India,16.2095494,-1.5877966,51.1179192,116.262331
1988,India,16.1015349,15.6396475,66.0964708,119.232759
1989,India,16.9028459,1.18915474,69.210771,132.118677
1990,India,16.5975964,4.01509581,73.5230241,132.502493
1991,India,15.6762602,-1.9524882,77.9993198,128.751462
1992,India,15.8007998,6.65100678,74.7016644,124.391689
1993,India,15.9157121,3.32270683,76.1767372,135.275568
1994,India,16.7641381,4.71598014,83.4558929,129.282938
1995,India,17.8658506,-0.6953771,85.7028553,122.323912
1996,India,17.5963408,9.92029924,89.0423288,128.156747
1997,India,16.5185785,-2.5537278,100.172561,122.984939
1998,India,15.719316,6.32045446,104.067952,122.865994
1999,India,15.1805367,2.66912734,112.17102,126.089684
2000,India,15.927023,-0.0076181,103.786118,113.68746
2001,India,15.3070213,6.00708957,108.182199,118.594593
2002,India,15.5587017,-6.6042345,100.329055,113.401275
2003,India,15.5873867,9.04858116,105.177204,119.961055
2004,India,15.8272457,0.18353277,115.27151,121.486324
2005,India,15.973017,4.80936405,127.614592,132.896009
2006,India,17.3036533,2.93879549,136.403922,152.551054
2007,India,16.8645678,5.50647663,142.835226,172.230339
2008,India,17.0986742,-0.2441943,153.349391,188.965018
2009,India,17.1435777,-0.880233,167.457296,181.231009
2010,India,17.0299343,8.79175829,179.035877,171.491764
2011,India,16.1393374,6.39780625,180.748291,171.196237
2012,India,15.816923,1.48746049,163.122022,159.540279
2013,India,15.2530227,5.57047566,156.495698,149.517842
2014,India,15.0655701,-0.2164482,163.498079,154.546114
2015,India,15.5838546,0.64959931,171.034933,149.441673
2016,India,15.1622371,6.79755863,165.89799,144.72852
2017,India,15.0182388,6.60592152,170.001151,146.530556
2018,India,14.8532644,2.56095155,175.015344,152.701188
2019,India,13.3274419,4.31476632,,
2020,India,12.961685,3.03352529,,
1960,USA,,,,
1961,USA,,41.3342781,,92.0163994
1962,USA,,46.7255367,,93.6281842
1963,USA,,51.0648342,,92.3455845
1964,USA,,55.0294808,,92.1036075
1965,USA,,61.038199,,90.536841
1966,USA,,69.2435058,,93.2007828
1967,USA,,76.2348038,,94.6423494
1968,USA,,76.8567782,,97.6147418
1969,USA,,76.1347999,,97.5626631
1970,USA,,80.6353255,,96.3880433
1971,USA,,82.8753589,,98.0701303
1972,USA,,85.7231308,,96.4481647
1973,USA,,91.5438433,,96.452858
1974,USA,,88.7037792,,96.6335871
1975,USA,,95.6487429,,97.8860238
1976,USA,,105.194879,,102.153906
1977,USA,,102.81233,,101.212907
1978,USA,,104.885325,,94.6439885
1979,USA,,110.179319,,92.3978026
1980,USA,,112.830981,,91.1041271
1981,USA,,106.998034,,104.916436
1982,USA,,93.2429036,,97.3572473
1983,USA,,98.8041362,,94.5563641
1984,USA,,105.161785,,88.4347126
1985,USA,,98.5597666,,101.709671
1986,USA,,93.1496548,,81.8563436
1987,USA,,94.8042593,,77.474296
1988,USA,,95.6284274,,75.842081
1989,USA,,98.800156,,79.1859396
1990,USA,,100.441282,,76.8450926
1991,USA,,100.797279,,73.0166803
1992,USA,,102.803039,,73.8439282
1993,USA,,108.88553,,78.0950271
1994,USA,,108.057702,,75.90992
1995,USA,,108.7728,,77.3015096
1996,USA,,112.872083,,74.943546
1997,USA,16.0871774,113.86286,,83.466898
1998,USA,15.7743253,112.341103,,84.8611554
1999,USA,15.4533061,111.860226,,95.3829621
2000,USA,15.1168785,108.751459,,106.152796
2001,USA,13.9224196,110.130265,,102.811241
2002,USA,13.4454191,112.517278,,109.310822
2003,USA,13.3160831,120.204496,,126.150659
2004,USA,13.1801904,121.60803,,122.758081
2005,USA,12.9930744,117.775214,,120.374948
2006,USA,12.9941172,123.438462,,124.898067
2007,USA,12.7824706,123.345323,,120.423886
2008,USA,12.2557022,113.39941,,122.917588
2009,USA,11.731472,107.735546,,122.63736
2010,USA,11.9326849,115.794892,,119.519188
2011,USA,11.9522107,128.360861,,129.17156
2012,USA,11.8522068,132.672949,,131.424268
2013,USA,11.8067999,134.963658,,134.709798
2014,USA,11.6524242,132.357294,,133.283805
2015,USA,11.6336773,127.744399,,129.489009
2016,USA,11.171319,129.309764,,127.182808
2017,USA,11.1290032,131.990997,,125.08552
2018,USA,11.1977035,128.765169,,118.103893
2019,USA,10.9262489,5.3839676,,
2020,USA,,,,
