year,country,totalReservesInMonths,totalReserves,currentGNI,totalReservesPercentage,debtServiceTotal,debtServicePercentage
1960,China,,,59700000000,,,
1961,China,,,50100000000,,,
1962,China,,,47200000000,,,
1963,China,,,50700000000,,,
1964,China,,,59700000000,,,
1965,China,,,70400000000,,,
1966,China,,,76700000000,,,
1967,China,,,72900000000,,,
1968,China,,,70800000000,,,
1969,China,,,79700000000,,,
1970,China,,,92600000000,,,
1971,China,,,99800000000,,,
1972,China,,,114000000000,,,
1973,China,,,139000000000,,,
1974,China,,,144000000000,,,
1975,China,,,163000000000,,,
1976,China,,,154000000000,,,
1977,China,,4456360000,175000000000,,,
1978,China,,4449800000,150000000000,,,
1979,China,,8707600000,178000000000,,,
1980,China,,10100000000,191000000000,,,
1981,China,,10100000000,196000000000,174.306922,,
1982,China,10.532624,17200000000,205000000000,205.162268,,7.58958386
1983,China,11.3291647,19800000000,232000000000,206.328841,,9.76105096
1984,China,9.4110158,21300000000,261000000000,176.040678,,6.61442691
1985,China,4.90478599,16900000000,310000000000,101.088861,,6.3697096
1986,China,5.17138676,16400000000,301000000000,69.2154413,,8.34258792
1987,China,6.72397003,22500000000,273000000000,63.5351376,,7.99967191
1988,China,5.52339378,23800000000,312000000000,55.9662988,,8.5067382
1989,China,5.08372316,23100000000,348000000000,51.3049177,,10.1016352
1990,China,8.50061506,34500000000,362000000000,62.3413783,,10.6108778
1991,China,10.1087909,48200000000,384000000000,79.9297534,,10.8471168
1992,China,3.76716827,24900000000,427000000000,34.2611184,,9.3849958
1993,China,3.15485277,27300000000,444000000000,31.765861,,10.2438424
1994,China,5.85893831,57800000000,563000000000,57.398285,,8.1355142
1995,China,6.32825586,80300000000,723000000000,67.8599792,,8.98416223
1996,China,7.71067046,112000000000,851000000000,86.586689,,8.32007878
1997,China,15.3584571,146000000000,951000000000,99.6847246,,11.5008839
1998,China,15.3155648,153000000000,1010000000000,105.969474,,8.70650426
1999,China,13.6364945,161000000000,1080000000000,108.439619,,9.17566978
2000,China,10.9413586,172000000000,1200000000000,117.697012,,7.10409203
2001,China,12.6317565,220000000000,1320000000000,119.371199,,6.09541914
2002,China,15.2992331,298000000000,1460000000000,160.50906,,5.08872215
2003,China,11.4427403,416000000000,1650000000000,200.858003,,3.02754497
2004,China,12.9044006,623000000000,1950000000000,251.810699,,1.27992614
2005,China,14.1697654,831000000000,2270000000000,290.820743,,1.09661826
2006,China,15.393205,1080000000000,2750000000000,331.068476,,0.85036011
2007,China,18.0957914,1550000000000,3560000000000,409.336021,,0.64577052
2008,China,19.1459317,1970000000000,4620000000000,508.748789,,0.58683873
2009,China,25.3897625,2450000000000,5090000000000,539.673473,,0.64123788
2010,China,21.8294857,2910000000000,6060000000000,392.283952,,0.76903411
2011,China,19.1307572,3250000000000,7480000000000,308.726389,,0.65723272
2012,China,19.083048,3390000000000,8510000000000,295.033561,,0.44586472
2013,China,19.543282,3880000000000,9490000000000,262.100424,,0.47993849
2014,China,18.9654202,3900000000000,10500000000000,219.3016,,0.54456138
2015,China,17.9357849,3410000000000,11000000000000,255.309048,,1.34013128
2016,China,16.7160983,3100000000000,11200000000000,219.100927,,0.76381111
2017,China,15.4175323,3240000000000,12300000000000,189.829913,,0.69151857
2018,China,13.1417392,3170000000000,13800000000000,161.517757,,0.73428498
2019,China,13.7541775,3220000000000,14200000000000,152.443059,,1.01222201
2020,China,14.8685033,3360000000000,14600000000000,142.89849,,1.1176548
1960,India,,674536631,36900000000,,,
1961,India,,666357095,39000000000,,,
1962,India,,512791844,41900000000,,,
1963,India,,607862500,48200000000,,,
1964,India,,499145126,56200000000,,,
1965,India,,600850886,59200000000,,,
1966,India,,609694585,45500000000,,,
1967,India,,663764120,49800000000,,,
1968,India,,730352745,52700000000,,,
