year,country,gdpCurrentUSD,gdpAnnualGrowthPercentage,currentAccountBalance,fdiNetUSD,fdiNetInflowsPercentage,fdiNetOutflowsPercentage
1960,India,37029883875,3.722743,,,,
1961,India,39232435784,2.931128,,,,
1962,India,42161481859,5.994353,,,,
1963,India,48421923459,7.452950,,,,
1964,India,56480289941,-2.635770,,,,
1965,India,59554854575,-0.055329,,,,
1966,India,45865462034,7.825963,,,,
1967,India,50134942203,3.387929,,,,
1968,India,53085455871,6.539700,,,,
1969,India,58447995017,5.157230,,,0.072826,
1970,India,62422483055,1.642930,,,0.070764,
1971,India,67350988021,-0.553301,,,0.024894,
1972,India,71463193830,3.295521,,,0.044331,
1973,India,85515269586,1.185336,,,0.057241,
1974,India,99525899116,9.149912,-0.149805,0,-0.010486,
1975,India,98472796457,1.663104,1.537102,0,-0.007503,0.000000
1976,India,103000000000,7.254765,1.744416,0,-0.029682,0.000000
1977,India,121000000000,5.712532,0.504280,0,0.013176,0.000000
1978,India,137000000000,-5.238183,0.032902,0,0.031747,0.000000
1979,India,153000000000,6.735822,-0.958069,4000000,0.042485,0.000000
1980,India,186000000000,6.006204,-1.394555,2000000,0.047506,0.002147
1981,India,193000000000,3.475733,-1.257276,1000000,0.035912,0.001034
1982,India,201000000000,7.288893,-0.887438,5000000,0.002584,0.000498
1983,India,218000000000,3.820738,-1.089314,4000000,0.009069,0.002291
1984,India,212000000000,5.254299,-1.780805,3000000,0.045628,0.001885
1985,India,233000000000,4.776564,-1.834521,-1000000,0.047284,0.001290
1986,India,249000000000,3.965356,-1.853242,5000000,0.076091,-0.000402
1987,India,279000000000,9.627783,-2.408462,11000000,0.030766,0.001792
1988,India,297000000000,5.947343,-2.301282,10000000,0.085157,0.003709
1989,India,296000000000,5.533455,-2.191936,6000000,0.073740,0.003378
1990,India,321000000000,1.056831,-1.588911,-11000000,0.027226,0.001869
1991,India,270000000000,5.482396,-1.556243,24000000,0.095942,-0.004072
1992,India,288000000000,4.750776,-0.671618,350641,0.197056,0.008327
1993,India,279000000000,6.658924,-0.512193,82583303,0.297386,0.000126
1994,India,327000000000,7.574492,-1.544132,117189079,0.594986,0.025234
1995,India,360000000000,7.549522,-1.515954,239324707,0.617479,0.032527
1996,India,393000000000,4.049821,-0.713014,112918990,0.860209,0.060913
1997,India,416000000000,6.184416,-1.638325,47593027,0.625286,0.027153
1998,India,421000000000,8.845756,-0.703548,79357457,0.472645,0.011295
1999,India,459000000000,3.840991,-0.982344,509532975,0.765213,0.017296
2000,India,468000000000,4.823966,0.290495,1054132218,1.056378,0.108783
2001,India,485000000000,3.803975,1.370941,1261071115,1.011572,0.217149
2002,India,515000000000,7.860381,1.443561,1237846245,0.605889,0.244898
2003,India,608000000000,7.922937,0.110019,1837062923,0.765601,0.203694
2004,India,709000000000,7.923431,-1.253507,2640754960,0.886101,0.259052
2005,India,820000000000,8.060733,-0.988988,14036833332,2.130168,0.321893
2006,India,940000000000,7.660815,-0.663718,17026111929,2.073396,1.492867
2007,India,1220000000000,3.086698,-2.583377,19256527246,3.620522,1.399327
2008,India,1200000000000,7.861889,-1.951464,16095583747,2.651593,1.606189
2009,India,1340000000000,8.497585,-3.253484,15968099288,1.635034,1.199474
2010,India,1680000000000,5.241315,-3.429288,12607994610,2.002066,0.952969
2011,India,1820000000000,5.456389,-5.004889,8553237671,1.312934,0.691588
2012,India,1830000000000,6.386106,-2.645666,1764948800,1.516276,0.467994
2013,India,1860000000000,7.410228,-1.339508,11686480933,1.695659,0.095057
2014,India,2040000000000,7.996254,-1.067549,7514275639,2.092116,0.573112
